RAWNET,FSSLTDE2,FSGA,FSTANF,FSASSET,FSSSI,FSNONCIT,FSSTDDE2,SHELDED,REALPROP,TANF_IND,HWGT,RAWERND,WRK_POOR,FSERNDED,FSUNEARN,FSNETINC,TPOV,FSERNDE2,FSNELDER,CERTHHSZ,FSWAGES,FSTOTDED,FSTOTDE2,FSUSIZE,FSSLTDED,FSGRINC,FSDIS,FSEARN,LIQRESOR,CAT_ELIG,FSVEHAST,VEHICLEA
363.0,125.0,0.0,0.0,992.0,312.0,0.0,201.0,125.0,0.0,0.0,830.1091842290721,0.0,0.0,0.0,623.0,364.0,76.0,0.0,1.0,1.0,0.0,259.0,259.0,1.0,125.0,623.0,0.0,0.0,992.0,1.0,0.0,1.0
0.0,383.0,0.0,0.0,0.0,0.0,0.0,201.0,405.0,0.0,0.0,726.8699045935958,0.0,0.0,0.0,562.0,45.0,69.0,0.0,1.0,1.0,0.0,517.0,517.0,1.0,383.0,562.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,268.0,0.0,0.0,419.0,176.0,0.0,126.0,343.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,402.0,0.0,49.0,0.0,1.0,1.0,0.0,477.0,402.0,1.0,343.0,402.0,0.0,0.0,419.0,1.0,0.0,1.0
187.0,175.0,0.0,0.0,194.0,0.0,0.0,209.0,175.0,0.0,0.0,779.8308396397807,125.0,1.0,125.0,0.0,187.0,38.0,188.0,0.0,4.0,626.0,439.0,439.0,4.0,175.0,626.0,0.0,626.0,194.0,0.0,0.0,1.0
781.0,61.0,0.0,0.0,0.0,0.0,0.0,200.0,61.0,0.0,0.0,973.2686478004877,215.0,1.0,215.0,168.0,781.0,75.0,276.0,0.0,4.0,1075.0,462.0,462.0,4.0,61.0,1243.0,0.0,1075.0,0.0,0.0,0.0,1.0
1241.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1109.9305576091976,171.0,1.0,170.0,692.0,1242.0,112.0,170.0,0.0,3.0,854.0,304.0,304.0,3.0,0.0,1546.0,1.0,854.0,0.0,0.0,0.0,1.0
393.0,130.0,0.0,0.0,0.0,0.0,0.0,201.0,130.0,0.0,0.0,839.8897475593062,0.0,0.0,0.0,657.0,393.0,80.0,0.0,1.0,1.0,0.0,264.0,264.0,1.0,130.0,657.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,261.0,0.0,0.0,0.0,0.0,0.0,30.0,417.0,0.0,0.0,747.7609155795811,120.0,1.0,120.0,0.0,0.0,27.0,0.0,0.0,6.0,602.0,758.0,602.0,6.0,417.0,602.0,0.0,602.0,0.0,0.0,0.0,1.0
0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,705.4012962642041,0.0,0.0,0.0,147.0,0.0,13.0,0.0,0.0,2.0,0.0,551.0,147.0,2.0,417.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0
790.0,0.0,0.0,0.0,0.0,18.0,0.0,134.0,0.0,0.0,0.0,962.9561307354808,0.0,0.0,0.0,924.0,790.0,84.0,0.0,2.0,2.0,0.0,134.0,134.0,2.0,0.0,924.0,0.0,0.0,0.0,1.0,0.0,1.0
